"","society_id","lat","long","hc7.cluster"
"231","Af50",8,8,4
"232","Af51",7,-6,4
"233","Af52",7,-6,4
"234","Af53",8,-7,4
"235","Af54",8,-10,4
"236","Af55",7,-11,4
"237","Af56",7,-8,5
"238","Af57",8.46,-12.64,5
"239","Af58",6.89,-11.2,4
"240","Af6",8,4,4
"241","Af7",6,-7,4
"242","Af8",9,6,5
"243","Af9",8,-5,5
"244","Ag1",13,-7,4
"245","Ag10",10,0,4
"246","Ag11",10,-4,4
"247","Ag12",10,-1,4
"248","Ag13",11,-1,4
"249","Ag14",10,-14,5
"250","Ag15",12,-16,4
"251","Ag16",12,-16,5
"252","Ag17",12,-15,5
"253","Ag18",11.1,-16.15,4
"254","Ag19",12.88,-16.19,5
"255","Ag2",13,-2,4
"256","Ag20",12,-16,5
"257","Ag21",12,-13,4
"258","Ag22",14,-12,4
"259","Ag23",13,-11,4
"260","Ag24",9,-11,4
"261","Ag25",15,10,4
"262","Ag26",15,-13,4
"263","Ag27",9,-4,4
"264","Ag28",14,-4,4
"265","Ag29",13,-3,4
"266","Ag3",15,-3,4
"267","Ag30",13,-4,4
"268","Ag31",12,-6,4
"269","Ag32",10,-6,4
"270","Ag33",11,-3,4
"271","Ag34",11,-4,4
"272","Ag35",7,-3,4
"273","Ag36",11,-3,4
"274","Ag37",11,-2,4
"275","Ag38",11,-2,4
"276","Ag39",11,-3,4
"277","Ag4",11,-1,4
"278","Ag40",10,-2,4
"279","Ag41",11,0,4
"280","Ag42",12,-3,4
"281","Ag43",8,-2,4
"282","Ag44",9,0,4
"283","Ag45",12,2,4
"284","Ag46",10,-1,4
"285","Ag47",12,-2,4
"286","Ag48",9,1,4
"287","Ag49",10,2,4
"288","Ag5",10,-3,4
"289","Ag50",11,1,4
"290","Ag51",11,1,4
"291","Ag52",11,1,4
"292","Ag53",12,0,4
"293","Ag54",10,-12,4
"294","Ag6",11,-13,4
"295","Ag7",14,-5,5
"296","Ag8",13,-13,4
"297","Ag9",11,-9,4
"298","Ah1",10,8,4
"299","Ah10",10,9,4
"300","Ah11",8,8,4
"301","Ah12",8,7,4
"302","Ah13",12,5,4
"303","Ah14",11,6,4
"304","Ah15",11,5,5
"305","Ah16",9,9,4
"306","Ah17",10,9,4
"307","Ah18",10,10,4
"308","Ah19",10,8,4
"309","Ah2",8,10,4
"310","Ah20",10,8,4
"311","Ah21",10,9,4
"312","Ah22",9,10,4
"313","Ah23",8,11,4
"314","Ah24",7,10,4
"315","Ah25",17,11,4
"316","Ah26",7,11,4
"317","Ah27",7,11,4
"318","Ah28",8,11,4
"319","Ah29",8,11,4
"320","Ah3",7,9,4
"321","Ah30",10,12,4
"322","Ah31",9,12,4
"323","Ah32",9,13,4
"324","Ah33",10,12,4
"325","Ah34",10,13,4
"326","Ah35",10,12,4
"327","Ah36",10,13,4
"328","Ah37",10,13,4
"329","Ah38",11,14,4
"330","Ah39",11,14,4
"331","Ah4",7,12,4
"332","Ah5",11,13,4
"333","Ah6",10,8,4
"334","Ah7",11,14,4
"335","Ah8",6,12,4
"336","Ah9",10,9,4
"337","Ai1",7,22,4
"338","Ai10",12,31,4
"339","Ai11",3,28,4
"340","Ai12",10,14,4
"341","Ai13",8,16,5
"342","Ai14",7,14,6
"343","Ai15",10,14,4
"344","Ai16",9,13,4
"345","Ai17",10,14,4
"346","Ai18",12,15,5
"347","Ai19",11,15,5
"348","Ai2",11,31,4
"349","Ai20",10,15,5
"350","Ai21",11,17,4
"351","Ai22",9,18,4
"352","Ai23",3,19,4
"353","Ai24",6,18,4
"354","Ai25",4,21,5
"355","Ai26",4,22,5
"356","Ai27",4,27,4
"357","Ai28",2,26,4
"358","Ai29",2,30,4
"359","Ai3",5,27,4
"360","Ai30",2,29,5
"361","Ai31",3,30,4
"362","Ai32",3,32,4
"363","Ai33",4,32,5
"364","Ai34",5,30,4
"365","Ai35",7,29,4
"366","Ai36",8,28,4
"367","Ai37",12,31,4
"368","Ai38",10,30,4
"369","Ai39",11,30,4
"370","Ai4",11,34,4
"371","Ai40",11,30,4
"372","Ai41",11,30,4
"373","Ai42",12,29,4
"374","Ai43",12,29,4
"375","Ai44",8,34,5
"376","Ai45",10,34,4
"377","Ai46",9,35,5
"378","Ai47",9,35,4
"379","Ai5",3,29,4
"380","Ai6",10,32,4
"381","Ai7",6,16,4
"382","Ai8",12,30,4
"383","Ai9",10,16,5
"384","Aj1",2,34,4
"385","Aj10",3,32,4
"386","Aj11",9,29,2
"387","Aj12",4,33,4
"388","Aj13",4,31,4
"389","Aj14",4,31,4
"390","Aj15",4,32,4
"391","Aj16",6,31,5
"392","Aj17",2,31,5
"393","Aj18",5,35,2
"394","Aj19",4,34,4
"395","Aj2",-2,36,2
"396","Aj20",6,35,4
"397","Aj21",3,34,4
"398","Aj22",3,34,4
"399","Aj23",1,36,2
"400","Aj24",5,34,2
"401","Aj25",0,36,4
"402","Aj26",1,36,4
"403","Aj27",1,35,4
"404","Aj28",-5,35,2
"405","Aj29",1,37,2
"406","Aj3",8,32,4
"407","Aj30",2,34,2
"408","Aj31",5,33,4
"409","Aj4",2,33,4
"410","Aj5",4,35,4
"411","Aj6",-1,34,4
"412","Aj7",0,35,4
"413","Aj8",5,32,4
"414","Aj9",-1,36,4
"415","Ca1",6,37,4
"416","Ca10",10,43,2
"417","Ca11",8,40,2
"418","Ca12",8,37,4
"419","Ca13",9,37,4
"420","Ca14",5,38,4
"421","Ca15",6,38,4
"422","Ca16",7,38,4
"423","Ca17",5,37,4
"424","Ca18",5,37,4
"425","Ca19",6,36,2
"426","Ca2",8,48,2
"427","Ca20",5,36,2
"428","Ca21",5,36,2
"429","Ca22",6,37,4
"430","Ca23",6,37,4
"431","Ca24",6,36,4
"432","Ca25",6,37,4
"433","Ca26",6,37,4
"434","Ca27",9,35,4
"435","Ca28",6,37,4
"436","Ca29",8,38,4
"437","Ca3",14,39,4
"438","Ca30",7,36,4
"439","Ca31",12,37,4
"440","Ca32",16,38,4
"441","Ca33",15,37,4
"442","Ca34",24,34,2
"443","Ca35",20,36,2
"444","Ca36",18,38,2
"445","Ca37",16,36,2
"446","Ca38",17,39,2
"447","Ca39",8,37,4
"448","Ca4",-4,35,4
"449","Ca40",6,38,4
"450","Ca41",6,38,4
"451","Ca42",7,36,4
"452","Ca43",18,36,2
"453","Ca5",20,35,2
"454","Ca6",12,42,2
"455","Ca7",13,38,4
"456","Ca8",8,38,4
"457","Ca9",-4,36,4
"458","Cb1",12,10,4
"459","Cb10",12,11,4
"460","Cb11",16,27,2
"461","Cb12",13,32,2
"462","Cb13",11,25,2
"463","Cb14",11,20,4
"464","Cb15",11,28,2
"465","Cb16",13,15,2
"466","Cb17",12,24,4
"467","Cb18",14,14,4
"468","Cb19",12,13,4
"469","Cb2",15,-17,4
"470","Cb20",13,3,4
"471","Cb21",8,13,2
"472","Cb22",14,0,4
"473","Cb23",14.73,-14.32,4
"474","Cb24",12,12,2
"475","Cb25",14,8,4
"476","Cb26",11,8,4
"477","Cb27",10,12,4
"478","Cb28",10,12,4
"479","Cb29",12,10,4
"480","Cb3",17,-1,5
"481","Cb4",14,32,4
"482","Cb5",13,15,2
"483","Cb6",11,12,4
"484","Cb7",11,11,4
"485","Cb8",13,5,2
"486","Cb9",12,9,4
"487","Cc1",22,-13,2
"488","Cc10",18,8,2
"489","Cc11",25,10,2
"490","Cc12",20,2,2
"491","Cc13",16,0,4
"492","Cc14",17,18,4
"493","Cc15",31,-7,5
"494","Cc16",32,3,2
"495","Cc17",22,-15,2
"496","Cc18",19,-1,2
"497","Cc19",18,-15,2
"498","Cc2",21,17,4
"499","Cc20",18,-8,2
"500","Cc3",29,26,4
"501","Cc4",33,4,4
"502","Cc5",18,-3,2
"503","Cc6",17,31,2
"504","Cc7",20,-5,2
"505","Cc8",8,2,2
"506","Cc9",23,6,2
"507","Cd1",23,33,4
"508","Cd10",34,-2,4
"509","Cd11",27.99,-15.62,5
"510","Cd12",31,2,4
"511","Cd13",30,9,2
"512","Cd14",35,2,2
"513","Cd15",35,-5,4
"514","Cd16",33,-8,4
"515","Cd17",35,5,2
"516","Cd18",30,28,2
"517","Cd19",35,10.94,4
"518","Cd2",25,33,4
"519","Cd20",31,22,2
"520","Cd21",37,10,4
"521","Cd3",35,-4,4
"522","Cd4",36,4,4
"523","Cd5",30,-9,4
"524","Cd6",30,31,4
"525","Cd7",33,-7,4
"526","Cd8",36,7,4
"527","Cd9",28,-11,4
"528","Ce1",42,20,4
"529","Ce2",42,-7,4
"530","Ce3",42,12,5
"531","Ce4",43,-1,5
"532","Ce5",40.89,14.25,4
"533","Ce6",37,-6,4
"534","Ce7",39,23,4
"535","Ce8",43,-2,4
"536","Cf1",42,-73,4
"537","Cf2",-16,28,2
"538","Cf3",-37.11,-12.27,5
"539","Cf4",-23.68,-46.64,4
"540","Cf5",47,-72,4
"541","Cg1",53,7,4
"542","Cg2",64,-20,2
"543","Cg3",53,-9,4
"544","Cg4",68,22,2
"545","Cg5",50,5,4
"546","Ch1",44,20,4
"547","Ch10",45,26,4
"548","Ch11",53,41,4
"549","ch12",54,56,4
"550","ch13",58,52,4
"551","ch14",57,53,4
"552","ch15",53,50,4
"553","ch16",59,26,4
"554","ch17",45.44,29.32,4
"555","ch18",59,29,5
"556","ch19",64,33,5
"557","Ch2",49,24,4
"558","ch20",55,50,4
"559","ch21",57,24,4
"560","ch22",55,23,4
"561","ch23",55,24,4
"562","ch24",57,23,7
"563","ch25",47,29,4
"564","ch26",57,53,4
"565","ch27",61,35,4
"566","ch28",59,29,5
"567","Ch3",50,16,4
"568","Ch4",43,46,5
"569","Ch5",43,24,4
"570","Ch6",55,28,4
"571","Ch7",48,36,4
"572","Ch8",47,20,4
"573","Ch9",55,24,4
"574","Ci1",46,46,2
"575","Ci10",40,45,4
"576","Ci11",32,44,4
"577","Ci12",43,41,2
"578","Ci2",43,45,4
"579","Ci3",42,48,4
"580","Ci4",44,42,4
"581","Ci5",38,30,4
"582","Ci6",43,44,2
"583","Ci7",43,46,4
"584","Ci8",42,45,4
"585","Ci9",43,43,4
"586","Cj1",36,36,4
"587","Cj10",31,47,5
"588","Cj2",33,37,2
"589","Cj3",32,35,4
"590","Cj4",32,45,5
"591","Cj5",28,47,2
"592","Cj6",32,36,4
"593","Cj7",34,36,4
"594","Cj8",32.77,35.03,4
"595","Cj9",15,45,4
"596","Ea1",25,68,5
"597","Ea10",30,69,2
"598","Ea11",33,68,4
"599","Ea12",30,52,2
"600","Ea13",32,73,4
"601","Ea2",35,72,4
"602","Ea3",35,66,4
"603","Ea4",35,73,4
"604","Ea5",36,71,4
"605","Ea6",30,34,2
"606","Ea7",34,63,4
"607","Ea8",33,48,2
"608","Ea9",36,52,4
"609","Eb1",48,70,2
"610","Eb2",39,100,4
"611","Eb3",46,97,2
"612","Eb4",49,125,4
"613","Eb5",38,62,4
"614","Eb6",52,107,2
"615","Eb7",41,115,2
"616","Eb8",43,60,2
"617","Ec1",53,142,7
"618","Ec10",62,74,2
"619","Ec11",59,90,2
"620","ec12",72,90,3
"621","ec13",54.98,161.79,7
"622","ec14",64,173,7
"623","ec15",63,62,7
"624","ec16",55,112,1
"625","ec17",52,134,7
"626","ec18",50,136,7
"627","ec19",54.01,142.71,7
"628","Ec2",65,125,2
"629","ec20",51,138,7
"630","ec21",47,136,1
"631","Ec3",66,177,2
"632","Ec4",68,75,2
"633","Ec5",61.99,164.24,2
"634","Ec6",70,145,7
"635","Ec7",44,144,7
"636","Ec8",62,90,7
"637","Ec9",47,132,5
"638","Ed1",38.134147,126.960754,5
"639","Ed10",37,118,4
"640","Ed13",24.46,124.14,5
"641","Ed14",22,105,4
"642","Ed15a",24.79,125.32,4
"643","Ed15b",31,120,4
"644","Ed16",23,113,4
"645","Ed2",29,103,4
"646","Ed3",45,126,4
"647","Ed4",26,107,4
"648","Ed5",35,136,4
"649","Ed6",24,115,4
"650","Ed7",26.16,127.8,5
"651","Ed8",26,100,4
"652","Ed9",19,109,4
"653","Ee1",28,95,5
"654","Ee2",37,75,4
"655","Ee3",28,89,4
"656","Ee4",30,91,4
"657","Ee5",35,73,4
"658","Ee6",28,87,4
"659","Ee7",27,90,4
"660","Ee8",28,84,4
"661","Ef1",24,87,4
"662","Ef10",25,86,4
"663","Ef11",26,83,4
"664","Ef2",23,88,5
"665","Ef3",30,75,4
"666","Ef4",22,85,4
"667","Ef5",22,74,4
"668","Ef6",23,85,4
"669","Ef7",30,78,4
"670","Ef8",34,75,4
"671","Ef9",20,77,4
"672","Eg1",16,79,1
"673","Eg10",18,79,4
"674","Eg11",19,78,4
"675","Eg12",18,82,4
"676","Eg13",20,81,4
"677","Eg14",18,82,4
"678","Eg2",11,79,5
"679","Eg3",19,81,4
"680","Eg4",12,77,2
"681","Eg5",12,76,4
"682","Eg6",11,76,4
"683","Eg7",21,85,4
"684","Eg8",22,85,4
"685","Eg9",22,81,5
"686","Eh1",12,93,7
"687","Eh10",-22,47,4
"688","Eh2",-19,46,4
"689","Eh3",-22,47,5
"690","Eh4",8,81,1
"691","Eh5",9.17,92.77,5
"692","Eh6",7,80,4
"693","Eh7",-25,46,4
"694","Eh8",-21,43.93,4
"695","Eh9",-22.9,47.75,5
"696","Ei1",26,91,4
"697","Ei10",23,92,4
"698","Ei11",25,94,4
"699","Ei12",25,94,4
"700","Ei13",26,94,4
"701","Ei14",27,94,4
"702","Ei15",26,94,4
"703","Ei16",26,95,5
"704","Ei17",26,94,4
"705","Ei18",23,97,4
"706","Ei19",22,94,4
"707","Ei2",27,94,4
"708","Ei20",23,92,4
"709","Ei3",20,95,4
"710","Ei4",22,93,4
"711","Ei5",26,97,4
"712","Ei6",25,94,4
"713","Ei7",17.12,97.19,5
"714","Ei8",26,92,4
"715","Ei9",20.49,92.64,4
"716","Ej1",20,101,4
"717","Ej10",13,108,4
"718","Ej11",11,108,4
"719","Ej12",18,98,4
"720","Ej13",21,105,5
"721","Ej14",4,102,5
"722","Ej15",13,104,4
"723","Ej16",2.58,102.25,4
"724","Ej2",12,107,4
"725","Ej3",5,101,1
"726","Ej4",17,107,5
"727","Ej5",12,105,5
"728","Ej6",11.78,98.28,7
"729","Ej7",21,100,4
"730","Ej8",5,103,5
"731","Ej9",15,100,4
"732","Ia1",24,121,4
"733","Ia10",24,121,4
"734","Ia11",23,121,4
"735","Ia12",10.2,123.65,5
"736","Ia13",5.09,119.97,7
"737","Ia14",22.05,121.55,5
"738","Ia15",8,126,4
"739","Ia16",18,121,4
"740","Ia17",6,125,4
"741","Ia18",10,123,4
"742","Ia2",17,121,4
"743","Ia3",17,121,4
"744","Ia4",8,123,4
"745","Ia5",13,121,5
"746","Ia6",22.44,120.77,4
"747","Ia7",10,119,4
"748","Ia8",17,121,4
"749","Ia9",22.7,121.05,4
"750","Ib1",2,112,5
"751","Ib2",-7,110,4
"752","Ib3",-8.18,115.02,4
"753","Ib4",2,99,4
"754","Ib5",6,117,5
"755","Ib6",-1,101,4
"756","Ib7",-2.93,100.23,5
"757","Ib8",-3,103,6
"758","Ib9",3,115,4
"759","Ic1",-5.31,119.69,5
"760","Ic10",1,128,5
"761","Ic11",-3.71,128.18,5
"762","Ic12",-8.63,117.27,4
"763","Ic13",-9.66,119.07,4
"764","Ic2",-8.22,124.26,4
"765","Ic3",-9,126,4
"766","Ic4",-10.71,123.18,4
"767","Ic5",-2,121,4
"768","Ic6",-8.19,130.96,5
"769","Ic7",-8.33,122.85,5
"770","Ic8",-5.58,133.07,5
"771","Ic9",-10,120,4
"772","Id1",-24,134,1
"773","Id10",-22,132,1
"774","Id11",-12.29,134.32,1
"775","Id12",-15,142,1
"776","Id13",-13.99,136.6,7
"777","Id2",-12.48,135.96,1
"778","Id3",-11.56,130.81,1
"779","Id4",-28,138,1
"780","Id5",-21,118,1
"781","Id6",-14,142,1
"782","Id7",-14,130,1
"783","Id8",-42,146,1
"784","Id9",-32,146,7
"785","Ie1",-4,136,4
"786","Ie10",-9,147,5
"787","Ie11",-6,144,4
"788","Ie12",-4,142,6
"789","Ie13",-9,143,6
"790","Ie14",-9.91,144.06,5
"791","Ie15",-3.79,143.09,4
"792","Ie16",-6,143,6
"793","Ie17",-6,145,4
"794","Ie18",-7.52,138.46,4
"795","Ie19",-8,139,6
"796","Ie2",-6.15,146.53,4
"797","Ie20",-9,147,4
"798","Ie21",-10,149,5
"799","Ie22",-9,147,4
"800","Ie23",-6,141,4
"801","Ie24",-9,148,4
"802","Ie25",-8,147,4
"803","Ie26",-6,146,4
"804","Ie27",-4.56,144.34,4
"805","Ie28",-6.69,147.26,4
"806","Ie29",-4.08,145.03,5
"807","Ie3",-4,144,4
"808","Ie30",-4,135,7
"809","Ie31",-6,145,4
"810","Ie32",-6,147,5
"811","Ie33",-2,138,1
"812","Ie34",-2.34,139.6,1
"813","Ie35",-4,143,5
"814","Ie36",-3,140,1
"815","Ie37",-5,141,4
"816","Ie38",-4,139,4
"817","Ie39",-7.82,145.31,6
"818","Ie4",-3.24,144.1,5
"819","Ie5",-9,142,4
"820","Ie6",-2.14,137.23,6
"821","Ie7",-6,144,4
"822","Ie8",-7,145,6
"823","Ie9",-9,148,5
"824","If1",7.45,134.54,5
"825","If10",6.89,152.74,5
"826","If11",5.31,162.98,5
"827","If12",11.7,165.29,5
"828","If13",-0.53,166.92,5
"829","If14",3.38,172.99,5
"830","If15",15.21,145.76,5
"831","If16",7.46,146.38,5
"832","If17",6.28,169.49,5
"833","If2",7.34,151.6,5
"834","If3",7.09,171.13,5
"835","If4",7.25,144.46,5
"836","If5",6.88,158.22,5
"837","If6",9.55,138.13,5
"838","If7",-1.47,175.06,5
"839","If8",15.13,145.71,4
"840","If9",10.02,139.79,5
"841","Ig1",-6,155,4
"842","Ig10",-2,147,4
"843","Ig11",-11.36,154.14,6
"844","Ig12",-6.69,156.52,4
"845","Ig13",-1.74,142.85,5
"846","Ig14",-10.41,149.91,5
"847","Ig15",-5.42,150.05,5
"848","Ig16",-9.44,150.33,5
"849","Ig17",-4.67,149.53,5
"850","Ig18",-9,161,6
"851","Ig19",-10,151,5
"852","Ig2",-8.43,151.09,5
"853","Ig20",-9.49,159.82,5
"854","Ig21",-3.38,153.31,5
"855","Ig3",-5.6,154.91,5
"856","Ig4",-3.06,151.66,5
"857","Ig5",-10,151,5
"858","Ig6",-9.63,161.44,5
"859","Ig7",-5.5,150.81,5
"860","Ig8",-8,157,5
"861","Ig9",-2,147,7
"862","Ih1",-13.84,167.7,5
"863","Ih10",-19.6,169.44,5
"864","Ih11",-16.61,168.17,5
"865","Ih12",-18.85,169.16,5
"866","Ih13",-16.18,168.15,4
"867","Ih14",-17.81,178.32,5
"868","Ih2",-16.51,167.47,5
"869","Ih3",-15.95,168.22,5
"870","Ih4",-17.74,-179.31,5
"871","Ih5",-21.37,165.47,5
"872","Ih6",-12.5,177.07,5
"873","Ih7",-20.94,167.23,5
"874","Ih8",-17.81,178.32,5
"875","Ih9",-10.73,165.85,5
"876","Ii1",-13.68,-172.41,5
"877","Ii10",-11.74,160.42,5
"878","Ii12",-19.74,-175.07,5
"879","Ii13",-13.28,-176.17,5
"880","Ii14",-13.94,-171.77,5
"881","Ii2",-12.29,168.83,5
"882","Ii3",-10.89,-165.84,5
"883","Ii4",-7.48,178.68,5
"884","Ii5",-5.48,159.7,5
"885","Ii6",-9.2,-171.85,5
"886","Ii7",1.09,154.8,5
"887","Ii8",-14.31,-178.11,5
"888","Ii9",-19.05,-169.86,5
"889","Ij1",-21.93,-157.91,5
"890","Ij10",-9.02,-158.03,5
"891","Ij2",-38.41,176.31,6
"892","Ij3",-8.9,-140.08,5
"893","Ij4",-10.41,-160.98,5
"894","Ij5",-15.94,-142.31,5
"895","Ij6",19.89,-155.83,5
"896","Ij7",-23.12,-134.97,5
"897","Ij8",-17.71,-149.54,5
"898","Ij9",-27.12,-109.36,5
"899","Na1",63,-141,3
"900","Na10",60.72,-146.49,7
"901","Na11",63.34,-170.3,7
"902","Na12",68,-152,3
"903","Na13",65.24,-64.63,7
"904","Na14",78,-70,7
"905","Na15",63,-117,7
"906","Na16",65,-119,7
"907","Na17",61,-120,7
"908","Na19",54,-124,1
"909","Na2",71,-157,7
"910","Na20",66,-135,7
"911","Na21",63,-96,7
"912","Na22",70,-82,7
"913","Na23",58,-65,7
"914","Na24",66,-37,7
"915","Na25",68.66,-51.22,7
"916","Na26",62,-144,7
"917","Na27",58,-131,7
"918","Na28",56,-123,7
"919","Na29",58,-117,1
"920","Na3",69,-110,7
"921","Na30",60,-105,7
"922","Na31",51,-85,1
"923","Na32",48,-72,3
"924","Na33",52,-98,1
"925","Na34",52,-94,1
"926","Na35",50,-88,1
"927","Na36",49,-96,7
"928","Na37",49,-92,1
"929","Na38",46,-92,7
"930","Na39",46,-85,7
"931","Na4",59,-128,7
"932","Na40",46,-82,6
"933","Na41",47,-65,7
"934","Na42",44,-85,6
"935","Na43",69,-96,7
"936","Na44",62,-76,7
"937","Na45",51.75,-72.66,7
